source_run_id,run_mode,domain,profile,metric,contrast,classification,n_paired,mean_difference,median_difference,ci_lo_bootstrap,ci_hi_bootstrap,p_signflip_two_sided,p_sign_exact_two_sided,paired_rank_biserial,context_q,context_family_m
29848584965,phase1_v2_kg_only,training,lab1,mean_first_goal_presentations,ql_true_minus_ql_false,registered_descriptive,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,12
29848584965,phase1_v2_kg_only,training,lab2,auc_goal,ql_true_minus_ql_false,registered_primary_member,20,0.0036999999999999976,0.003500000000000003,0.0026999999999999967,0.004916666666666669,1.9073486328125e-06,1.9073486328125e-06,1.0,1.1444091796875e-05,12
29848584965,phase1_v2_kg_only,training,lab2,auc_reward,ql_true_minus_ql_false,registered_descriptive,20,-2.0095999999999945,-2.1004999999999967,-6.370780833333329,2.2785050000000013,0.38340187072753906,0.8238029479980469,-0.2,0.6572603498186383,12
29848584965,phase1_v2_kg_only,training,lab2,episodes_to_threshold,ql_true_minus_ql_false,registered_descriptive,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,12
29848584965,phase1_v2_kg_only,training,lab2,mean_first_goal_presentations,ql_true_minus_ql_false,registered_descriptive,20,-0.3818181818181818,-0.2727272727272727,-0.5363636363636364,-0.24999999999999994,3.814697265625e-06,3.814697265625e-06,-1.0,1.52587890625e-05,12
29848584965,phase1_v2_kg_only,training,lab3,auc_goal,ql_true_minus_ql_false,registered_descriptive,20,-0.002299999999999991,-0.0028333333333333544,-0.003466666666666657,-0.0010666666666666435,0.002330780029296875,0.063568115234375,-0.7421052631578947,0.006992340087890625,12
29848584965,phase1_v2_kg_only,training,lab3,auc_reward,ql_true_minus_ql_false,registered_descriptive,20,21.05188333333334,21.76266666666666,18.68759833333334,23.303280833333336,1.9073486328125e-06,1.9073486328125e-06,1.0,1.1444091796875e-05,12
29848584965,phase1_v2_kg_only,training,lab3,episodes_to_threshold,ql_true_minus_ql_false,registered_descriptive,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,12
29848584965,phase1_v2_kg_only,training,lab3,mean_first_goal_presentations,ql_true_minus_ql_false,registered_primary_member,20,0.10999999999999999,0.0,-0.06000000000000001,0.3051249999999982,0.304351806640625,1.0,0.25735294117647056,0.60870361328125,12
29848584965,phase1_v2_kg_only,benchmark,lab1,goal_rate,ql_true_minus_ql_false,registered_descriptive,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,72
29848584965,phase1_v2_kg_only,benchmark,lab2,goal_rate,ql_true_minus_ql_false,registered_descriptive,20,0.04875,0.03750000000000003,0.027500000000000004,0.0725,0.0001220703125,0.0001220703125,1.0,0.00028351814516129034,72
29848584965,phase1_v2_kg_only,benchmark,lab3,goal_rate,ql_true_minus_ql_false,registered_descriptive,20,-0.013750000000000007,0.0,-0.03375000000000001,0.006874999999999992,0.22381591796875,0.60723876953125,-0.325,0.35032056725543476,72
29848584965,phase1_v2_kg_only,benchmark,lab1,avg_steps,ql_true_minus_ql_false,registered_descriptive,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,72
29848584965,phase1_v2_kg_only,benchmark,lab2,avg_steps,ql_true_minus_ql_false,registered_descriptive,20,-1.3337500000000002,-1.175,-1.7375156250000001,-0.9624999999999998,1.9073486328125e-06,1.9073486328125e-06,-1.0,5.281888521634615e-06,72
29848584965,phase1_v2_kg_only,benchmark,lab3,avg_steps,ql_true_minus_ql_false,registered_descriptive,20,0.3325,0.39375000000000004,-0.063140625,0.7256406249999998,0.12086677551269531,0.5034446716308594,0.4,0.20720018659319198,72
29848584965,phase1_v2_kg_only,benchmark,lab1,avg_dev,ql_true_minus_ql_false,registered_descriptive,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,72
29848584965,phase1_v2_kg_only,benchmark,lab2,avg_dev,ql_true_minus_ql_false,registered_descriptive,20,-3.6731249999999998,-2.9375,-4.781890624999999,-2.6268281250000003,1.9073486328125e-06,1.9073486328125e-06,-1.0,5.281888521634615e-06,72
29848584965,phase1_v2_kg_only,benchmark,lab3,avg_dev,ql_true_minus_ql_false,registered_descriptive,20,0.45875000000000005,0.675,-0.023750000000000004,0.9344218749999993,0.08058929443359375,0.5034446716308594,0.47619047619047616,0.14506072998046876,72
29848584965,phase1_v2_kg_only,benchmark,lab1,avg_policy_energy,ql_true_minus_ql_false,registered_descriptive,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,72
29848584965,phase1_v2_kg_only,benchmark,lab2,avg_policy_energy,ql_true_minus_ql_false,registered_descriptive,20,-1.28,-1.03125,-1.6831249999999998,-0.916234375,1.9073486328125e-06,1.9073486328125e-06,-1.0,5.281888521634615e-06,72
