profile,mode,n_runs,source_run,defect_component,well_posed_recovery,recovery_tier,detection_rate,reconverge_rate,n_detected,n_reconverged,greedy_goal_rate_mean,n_goal_reaching,goal_reaching_rate,degraded_rate,n_degraded,best_effort_rank,nominal_goal,RecoveryEpisodes_mean,RecoveryEpisodes_ci_lo,RecoveryEpisodes_ci_hi,DetectEpisode_mean,DetectEpisode_ci_lo,DetectEpisode_ci_hi
lab3_f2bdead,ql_true,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f2dead,ql_false,0,,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f2dead,ql_true,0,,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f2dead_lowsun,ql_false,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f2dead_lowsun,ql_true,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f2inv,ql_false,0,,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f2inv,ql_true,0,,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
labmon2_f2dead_lowsun,ql_false,10,,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,True,confirmatory,1.0,1.0,10,10,0.78,10,1.0,1.0,10,2,3,374.1,293.0,480.60499999999996,0.2,0.0,0.6
labmon2_f2dead_lowsun,ql_true,10,,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,True,confirmatory,1.0,1.0,10,10,0.97,10,1.0,1.0,10,2,3,218.5,159.3,279.1,0.0,0.0,0.0
labmon2_infoonly_f2dead_lowsun,ql_false,10,,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,ill_posed,1.0,1.0,10,10,0.8,10,1.0,1.0,10,2,3,393.9,273.9,540.6049999999999,0.0,0.0,0.0
labmon2_infoonly_f2dead_lowsun,ql_true,10,,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,ill_posed,1.0,1.0,10,10,0.85,10,1.0,1.0,10,2,3,199.9,169.1,227.00249999999997,0.0,0.0,0.0
labmon2_nostereo_f2dead_lowsun,ql_false,0,,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
labmon2_nostereo_f2dead_lowsun,ql_true,0,,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
labmon_f1dead,ql_false,10,,http://example.org/was#SetZ1Light;none,True,descriptive,0.4,0.4,4,4,0.4,4,0.4,0.4,4,2,3,52.75,51.0,54.75,0.0,0.0,0.0
labmon_f1dead,ql_true,10,,http://example.org/was#SetZ1Light;none,True,descriptive,0.7,0.7,7,7,0.7,7,0.7,0.7,7,2,3,50.0,50.0,50.0,0.0,0.0,0.0
labmon_infoonly_f1dead,ql_false,10,,http://example.org/was#SetZ1Light,False,ill_posed,1.0,1.0,10,10,1.0,10,1.0,1.0,10,2,3,106.5,65.4975,149.6,0.0,0.0,0.0
labmon_infoonly_f1dead,ql_true,10,,http://example.org/was#SetZ1Light,False,ill_posed,1.0,1.0,10,10,1.0,10,1.0,1.0,10,2,3,53.3,50.6,56.6,0.0,0.0,0.0
labmon_nostereo_f1dead,ql_false,10,,http://example.org/was#SetZ1Light,False,ill_posed,1.0,1.0,10,10,1.0,10,1.0,1.0,10,2,3,106.5,65.4975,149.6,0.0,0.0,0.0
labmon_nostereo_f1dead,ql_true,10,,http://example.org/was#SetZ1Light,False,ill_posed,1.0,1.0,10,10,1.0,10,1.0,1.0,10,2,3,53.3,50.6,56.6,0.0,0.0,0.0
