Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect,ScenarioId
170,4,187.00,0.00,1,0.180011,1,1,3
171,3,188.00,0.00,1,0.179471,1,0,4
172,1,200.00,0.00,1,0.178932,0,0,6
173,0,0.00,0.00,1,0.178395,0,0,8
174,3,178.00,0.00,1,0.177860,2,0,1
175,4,182.00,0.00,1,0.177327,1,1,2
176,4,177.00,0.00,1,0.176795,2,1,3
177,3,188.00,0.00,1,0.176264,1,1,4
178,1,200.00,0.00,1,0.175735,0,0,6
179,0,0.00,0.00,1,0.175208,0,0,8
180,4,177.00,0.00,1,0.174683,2,1,1
181,4,187.00,0.00,1,0.174159,1,1,2
182,5,176.00,0.00,1,0.173636,2,1,3
183,2,189.00,0.00,1,0.173115,1,0,4
184,1,200.00,0.00,1,0.172596,0,0,6
185,0,0.00,0.00,1,0.172078,0,0,8
186,5,156.00,0.00,1,0.171562,4,0,1
187,5,186.00,0.00,1,0.171047,1,0,2
188,3,188.00,0.00,1,0.170534,1,0,3
189,2,189.00,0.00,1,0.170022,1,0,4
190,1,200.00,0.00,1,0.169512,0,0,6
191,0,0.00,0.00,1,0.169004,0,0,8
192,5,176.00,0.00,1,0.168497,2,1,1
193,3,188.00,0.00,1,0.167991,1,0,2
194,3,188.00,0.00,1,0.167487,1,0,3
195,2,189.00,0.00,1,0.166985,1,0,4
196,1,200.00,0.00,1,0.166484,0,0,6
197,0,0.00,0.00,1,0.165984,0,0,8
198,4,177.00,0.00,1,0.165487,2,0,1
199,3,188.00,0.00,1,0.164990,1,0,2
200,3,188.00,0.00,1,0.164495,1,0,3
201,2,189.00,0.00,1,0.164002,1,0,4
202,1,200.00,0.00,1,0.163510,0,0,6
203,0,0.00,0.00,1,0.163019,0,0,8
204,4,177.00,0.00,1,0.162530,2,1,1
205,6,155.00,0.00,1,0.162042,4,1,2
206,3,188.00,0.00,1,0.161556,1,0,3
207,2,189.00,0.00,1,0.161072,1,0,4
208,1,200.00,0.00,1,0.160588,0,0,6
209,0,0.00,0.00,1,0.160107,0,0,8
210,4,172.00,0.00,1,0.159626,2,1,1
211,3,188.00,0.00,1,0.159147,1,0,2
212,6,180.00,0.00,1,0.158670,1,1,3
213,2,189.00,0.00,1,0.158194,1,0,4
214,1,200.00,0.00,1,0.157719,0,0,6
215,0,0.00,0.00,1,0.157246,0,0,8
216,4,167.00,0.00,1,0.156775,3,1,1
217,3,188.00,0.00,1,0.156304,1,0,2
218,3,188.00,0.00,1,0.155835,1,0,3
219,2,189.00,0.00,1,0.155368,1,0,4
220,1,200.00,0.00,1,0.154902,0,0,6
221,0,0.00,0.00,1,0.154437,0,0,8
222,3,178.00,0.00,1,0.153974,2,0,1
223,3,188.00,0.00,1,0.153512,1,0,2
224,4,187.00,0.00,1,0.153051,1,0,3
225,2,189.00,0.00,1,0.152592,1,0,4
226,1,200.00,0.00,1,0.152134,0,0,6
227,0,0.00,0.00,1,0.151678,0,0,8
228,5,166.00,0.00,1,0.151223,3,2,1
229,3,188.00,0.00,1,0.150769,1,0,2
230,3,188.00,0.00,1,0.150317,1,0,3
231,2,189.00,0.00,1,0.149866,1,0,4
232,1,200.00,0.00,1,0.149416,0,0,6
233,0,0.00,0.00,1,0.148968,0,0,8
234,4,177.00,0.00,1,0.148521,2,1,1
235,3,188.00,0.00,1,0.148076,1,0,2
236,3,188.00,0.00,1,0.147631,1,0,3
237,2,189.00,0.00,1,0.147188,1,0,4
238,1,200.00,0.00,1,0.146747,0,0,6
239,0,0.00,0.00,1,0.146307,0,0,8
240,5,176.00,0.00,1,0.145868,2,2,1
241,6,165.00,0.00,1,0.145430,3,0,2
242,3,188.00,0.00,1,0.144994,1,0,3
243,2,189.00,0.00,1,0.144559,1,0,4
244,1,200.00,0.00,1,0.144125,0,0,6
245,0,0.00,0.00,1,0.143693,0,0,8
246,3,178.00,0.00,1,0.143262,2,0,1
247,3,188.00,0.00,1,0.142832,1,0,2
248,4,187.00,0.00,1,0.142403,1,1,3
249,2,189.00,0.00,1,0.141976,1,0,4
250,1,200.00,0.00,1,0.141550,0,0,6
251,0,0.00,0.00,1,0.141126,0,0,8
252,3,178.00,0.00,1,0.140702,2,0,1
253,4,177.00,0.00,1,0.140280,2,1,2
254,3,188.00,0.00,1,0.139859,1,0,3
255,2,189.00,0.00,1,0.139440,1,0,4
256,1,200.00,0.00,1,0.139021,0,0,6
257,0,0.00,0.00,1,0.138604,0,0,8
258,3,178.00,0.00,1,0.138189,2,0,1
259,3,188.00,0.00,1,0.137774,1,0,2
260,4,187.00,0.00,1,0.137361,1,1,3
261,2,189.00,0.00,1,0.136949,1,0,4
262,2,199.00,0.00,1,0.136538,0,0,6
263,0,0.00,0.00,1,0.136128,0,0,8
264,3,178.00,0.00,1,0.135720,2,0,1
265,3,188.00,0.00,1,0.135313,1,0,2
266,4,177.00,0.00,1,0.134907,2,1,3
267,2,189.00,0.00,1,0.134502,1,0,4
268,1,200.00,0.00,1,0.134098,0,0,6
269,0,0.00,0.00,1,0.133696,0,0,8
270,3,178.00,0.00,1,0.133295,2,0,1
271,4,167.00,0.00,1,0.132895,3,0,2
272,3,188.00,0.00,1,0.132496,1,0,3
273,2,189.00,0.00,1,0.132099,1,0,4
274,1,200.00,0.00,1,0.131703,0,0,6
275,0,0.00,0.00,1,0.131308,0,0,8
276,6,175.00,0.00,1,0.130914,2,1,1
277,3,188.00,0.00,1,0.130521,1,0,2
278,4,177.00,0.00,1,0.130129,2,1,3
279,2,189.00,0.00,1,0.129739,1,0,4
280,1,200.00,0.00,1,0.129350,0,0,6
281,0,0.00,0.00,1,0.128962,0,0,8
282,3,178.00,0.00,1,0.128575,2,0,1
283,4,177.00,0.00,1,0.128189,2,1,2
284,3,188.00,0.00,1,0.127805,1,0,3
285,3,178.00,0.00,1,0.127421,2,1,4
286,2,199.00,0.00,1,0.127039,0,0,6
287,0,0.00,0.00,1,0.126658,0,0,8
288,3,178.00,0.00,1,0.126278,2,0,1
289,3,188.00,0.00,1,0.125899,1,0,2
290,3,188.00,0.00,1,0.125521,1,0,3
291,2,189.00,0.00,1,0.125145,1,0,4
292,1,200.00,0.00,1,0.124769,0,0,6
293,0,0.00,0.00,1,0.124395,0,0,8
294,3,178.00,0.00,1,0.124022,2,0,1
295,3,188.00,0.00,1,0.123650,1,0,2
296,3,188.00,0.00,1,0.123279,1,0,3
297,2,189.00,0.00,1,0.122909,1,0,4
298,1,200.00,0.00,1,0.122540,0,0,6
299,0,0.00,0.00,1,0.122173,0,0,8
