StateIndex,SetAwning=OFF,SetAwning=ON,SetStrongLamp=OFF,SetStrongLamp=ON,SetWeakLamp=OFF,SetWeakLamp=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,DO_NOTHING
142,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00
143,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00
144,-50.00,-50.00,-50.00,0.00,0.00,-50.00,-50.00,-50.00,0.00
145,-50.00,0.00,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00
146,-50.00,0.00,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00
147,-50.00,0.00,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00
148,0.00,-50.00,-50.00,0.00,0.00,-50.00,-50.00,-50.00,0.00
149,0.00,-50.00,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00
150,0.00,-50.00,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00
151,0.00,-50.00,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00
152,-50.00,-50.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00
153,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00
154,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00
155,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00
156,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00
157,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00
158,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00
159,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00
160,-50.00,-50.00,0.00,-50.00,-50.00,0.00,-50.00,-50.00,0.00
161,-50.00,0.00,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00
162,-50.00,0.00,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00
163,-50.00,0.00,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00
164,0.00,-50.00,0.00,-50.00,-50.00,0.00,-50.00,-50.00,0.00
165,0.00,-50.00,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00
166,0.00,-50.00,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00
167,0.00,-50.00,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00
168,-50.00,-50.00,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00
169,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00
170,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00
171,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00
172,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00
173,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00
174,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00
175,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00
