Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect,ScenarioId
181,2,189.00,0.00,1,0.174159,1,0,2
182,2,189.00,0.00,1,0.173636,1,0,3
183,2,189.00,0.00,1,0.173115,1,0,4
184,2,194.00,0.00,1,0.172596,0,1,6
185,0,0.00,0.00,1,0.172078,0,0,8
186,3,178.00,0.00,1,0.171562,2,0,1
187,3,188.00,0.00,1,0.171047,1,0,2
188,2,189.00,0.00,1,0.170534,1,0,3
189,2,189.00,0.00,1,0.170022,1,0,4
190,1,200.00,0.00,1,0.169512,0,0,6
191,0,0.00,0.00,1,0.169004,0,0,8
192,3,178.00,0.00,1,0.168497,2,0,1
193,3,183.00,0.00,1,0.167991,1,1,2
194,2,189.00,0.00,1,0.167487,1,0,3
195,3,178.00,0.00,1,0.166985,2,1,4
196,1,200.00,0.00,1,0.166484,0,0,6
197,0,0.00,0.00,1,0.165984,0,0,8
198,3,178.00,0.00,1,0.165487,2,0,1
199,3,178.00,0.00,1,0.164990,2,1,2
200,2,189.00,0.00,1,0.164495,1,0,3
201,2,189.00,0.00,1,0.164002,1,0,4
202,1,200.00,0.00,1,0.163510,0,0,6
203,0,0.00,0.00,1,0.163019,0,0,8
204,3,178.00,0.00,1,0.162530,2,0,1
205,3,188.00,0.00,1,0.162042,1,1,2
206,2,189.00,0.00,1,0.161556,1,0,3
207,2,189.00,0.00,1,0.161072,1,0,4
208,1,200.00,0.00,1,0.160588,0,0,6
209,0,0.00,0.00,1,0.160107,0,0,8
210,3,178.00,0.00,1,0.159626,2,0,1
211,2,189.00,0.00,1,0.159147,1,0,2
212,2,189.00,0.00,1,0.158670,1,0,3
213,2,189.00,0.00,1,0.158194,1,0,4
214,1,200.00,0.00,1,0.157719,0,0,6
215,0,0.00,0.00,1,0.157246,0,0,8
216,4,172.00,0.00,1,0.156775,2,1,1
217,2,189.00,0.00,1,0.156304,1,0,2
218,2,189.00,0.00,1,0.155835,1,0,3
219,2,189.00,0.00,1,0.155368,1,0,4
220,1,200.00,0.00,1,0.154902,0,0,6
221,0,0.00,0.00,1,0.154437,0,0,8
222,4,167.00,0.00,1,0.153974,3,1,1
223,2,189.00,0.00,1,0.153512,1,0,2
224,4,182.00,0.00,1,0.153051,1,2,3
225,3,178.00,0.00,1,0.152592,2,1,4
226,1,200.00,0.00,1,0.152134,0,0,6
227,0,0.00,0.00,1,0.151678,0,0,8
228,3,178.00,0.00,1,0.151223,2,0,1
229,2,189.00,0.00,1,0.150769,1,0,2
230,2,189.00,0.00,1,0.150317,1,0,3
231,3,188.00,0.00,1,0.149866,1,1,4
232,1,200.00,0.00,1,0.149416,0,0,6
233,0,0.00,0.00,1,0.148968,0,0,8
234,3,178.00,0.00,1,0.148521,2,0,1
235,2,189.00,0.00,1,0.148076,1,0,2
236,3,178.00,0.00,1,0.147631,2,1,3
237,3,178.00,0.00,1,0.147188,2,1,4
238,1,200.00,0.00,1,0.146747,0,0,6
239,0,0.00,0.00,1,0.146307,0,0,8
240,3,178.00,0.00,1,0.145868,2,0,1
241,2,189.00,0.00,1,0.145430,1,0,2
242,2,189.00,0.00,1,0.144994,1,0,3
243,2,189.00,0.00,1,0.144559,1,0,4
244,1,200.00,0.00,1,0.144125,0,0,6
245,0,0.00,0.00,1,0.143693,0,0,8
246,5,176.00,0.00,1,0.143262,2,2,1
247,2,189.00,0.00,1,0.142832,1,0,2
248,2,189.00,0.00,1,0.142403,1,0,3
249,2,189.00,0.00,1,0.141976,1,0,4
250,1,200.00,0.00,1,0.141550,0,0,6
251,0,0.00,0.00,1,0.141126,0,0,8
252,5,176.00,0.00,1,0.140702,2,0,1
253,2,189.00,0.00,1,0.140280,1,0,2
254,2,189.00,0.00,1,0.139859,1,0,3
255,2,189.00,0.00,1,0.139440,1,0,4
256,1,200.00,0.00,1,0.139021,0,0,6
257,0,0.00,0.00,1,0.138604,0,0,8
258,4,172.00,0.00,1,0.138189,2,1,1
259,2,189.00,0.00,1,0.137774,1,0,2
260,2,189.00,0.00,1,0.137361,1,0,3
261,2,189.00,0.00,1,0.136949,1,0,4
262,1,200.00,0.00,1,0.136538,0,0,6
263,0,0.00,0.00,1,0.136128,0,0,8
264,3,178.00,0.00,1,0.135720,2,0,1
265,2,189.00,0.00,1,0.135313,1,0,2
266,2,189.00,0.00,1,0.134907,1,0,3
