Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect,ScenarioId
196,1,200.00,0.00,1,0.166484,0,0,10
197,3,183.00,0.00,1,0.165984,1,2,12
198,1,200.00,0.00,1,0.165487,0,0,13
199,0,0.00,0.00,1,0.164990,0,0,15
200,3,228.00,0.00,1,0.164495,1,0,1
201,4,167.00,0.00,1,0.164002,3,0,2
202,1,200.00,0.00,1,0.163510,0,0,5
203,6,180.00,0.00,1,0.163019,1,1,6
204,0,0.00,0.00,1,0.162530,0,0,8
205,1,200.00,0.00,1,0.162042,0,0,9
206,2,189.00,0.00,1,0.161556,1,1,10
207,1,200.00,0.00,1,0.161072,0,0,12
208,1,200.00,0.00,1,0.160588,0,0,13
209,0,0.00,0.00,1,0.160107,0,0,15
210,5,206.00,0.00,1,0.159626,3,0,1
211,2,189.00,0.00,1,0.159147,1,0,2
212,1,200.00,0.00,1,0.158670,0,0,5
213,2,189.00,0.00,1,0.158194,1,0,6
214,0,0.00,0.00,1,0.157719,0,0,8
215,1,200.00,0.00,1,0.157246,0,0,9
216,1,200.00,0.00,1,0.156775,0,0,10
217,1,200.00,0.00,1,0.156304,0,0,12
218,1,200.00,0.00,1,0.155835,0,0,13
219,0,0.00,0.00,1,0.155368,0,0,15
220,3,228.00,0.00,1,0.154902,1,0,1
221,5,156.00,0.00,1,0.154437,4,1,2
222,1,200.00,0.00,1,0.153974,0,0,5
223,2,189.00,0.00,1,0.153512,1,0,6
224,0,0.00,0.00,1,0.153051,0,0,8
225,1,200.00,0.00,1,0.152592,0,0,9
226,1,200.00,0.00,1,0.152134,0,0,10
227,1,200.00,0.00,1,0.151678,0,0,12
228,5,181.00,0.00,1,0.151223,2,2,13
229,0,0.00,0.00,1,0.150769,0,0,15
230,3,228.00,0.00,1,0.150317,1,0,1
231,2,189.00,0.00,1,0.149866,1,0,2
232,1,200.00,0.00,1,0.149416,0,0,5
233,2,189.00,0.00,1,0.148968,1,0,6
234,0,0.00,0.00,1,0.148521,0,0,8
235,1,200.00,0.00,1,0.148076,0,0,9
236,1,200.00,0.00,1,0.147631,0,0,10
237,1,200.00,0.00,1,0.147188,0,0,12
238,1,200.00,0.00,1,0.146747,0,0,13
239,0,0.00,0.00,1,0.146307,0,0,15
240,5,206.00,0.00,1,0.145868,3,0,1
241,2,189.00,0.00,1,0.145430,1,0,2
242,1,200.00,0.00,1,0.144994,0,0,5
243,2,189.00,0.00,1,0.144559,1,0,6
244,0,0.00,0.00,1,0.144125,0,0,8
245,1,200.00,0.00,1,0.143693,0,0,9
246,1,200.00,0.00,1,0.143262,0,0,10
247,1,200.00,0.00,1,0.142832,0,0,12
248,1,200.00,0.00,1,0.142403,0,0,13
249,0,0.00,0.00,1,0.141976,0,0,15
250,5,206.00,0.00,1,0.141550,3,0,1
251,4,167.00,0.00,1,0.141126,3,1,2
252,2,189.00,0.00,1,0.140702,1,1,5
253,2,189.00,0.00,1,0.140280,1,0,6
254,0,0.00,0.00,1,0.139859,0,0,8
255,1,200.00,0.00,1,0.139440,0,0,9
256,1,200.00,0.00,1,0.139021,0,0,10
257,1,200.00,0.00,1,0.138604,0,0,12
258,1,200.00,0.00,1,0.138189,0,0,13
259,0,0.00,0.00,1,0.137774,0,0,15
260,3,228.00,0.00,1,0.137361,1,0,1
261,2,189.00,0.00,1,0.136949,1,0,2
262,1,200.00,0.00,1,0.136538,0,0,5
263,2,189.00,0.00,1,0.136128,1,0,6
264,0,0.00,0.00,1,0.135720,0,0,8
265,1,200.00,0.00,1,0.135313,0,0,9
266,1,200.00,0.00,1,0.134907,0,0,10
267,1,200.00,0.00,1,0.134502,0,0,12
268,1,200.00,0.00,1,0.134098,0,0,13
269,0,0.00,0.00,1,0.133696,0,0,15
270,3,228.00,0.00,1,0.133295,1,0,1
271,2,189.00,0.00,1,0.132895,1,0,2
272,1,200.00,0.00,1,0.132496,0,0,5
273,2,189.00,0.00,1,0.132099,1,0,6
274,0,0.00,0.00,1,0.131703,0,0,8
275,1,200.00,0.00,1,0.131308,0,0,9
276,1,200.00,0.00,1,0.130914,0,0,10
277,1,200.00,0.00,1,0.130521,0,0,12
278,1,200.00,0.00,1,0.130129,0,0,13
279,0,0.00,0.00,1,0.129739,0,0,15
280,4,217.00,0.00,1,0.129350,2,1,1
281,6,165.00,0.00,1,0.128962,4,0,2
282,1,200.00,0.00,1,0.128575,0,0,5
283,2,189.00,0.00,1,0.128189,1,0,6
284,0,0.00,0.00,1,0.127805,0,0,8
285,1,200.00,0.00,1,0.127421,0,0,9
286,1,200.00,0.00,1,0.127039,0,0,10
287,9,142.00,0.00,1,0.126658,4,4,12
288,1,200.00,0.00,1,0.126278,0,0,13
289,0,0.00,0.00,1,0.125899,0,0,15
290,3,228.00,0.00,1,0.125521,1,0,1
291,5,156.00,0.00,1,0.125145,4,1,2
292,1,200.00,0.00,1,0.124769,0,0,5
293,3,183.00,0.00,1,0.124395,1,1,6
294,0,0.00,0.00,1,0.124022,0,0,8
295,1,200.00,0.00,1,0.123650,0,0,9
296,1,200.00,0.00,1,0.123279,0,0,10
297,2,189.00,0.00,1,0.122909,1,1,12
298,1,200.00,0.00,1,0.122540,0,0,13
299,0,0.00,0.00,1,0.122173,0,0,15
300,3,228.00,0.00,1,0.121806,1,0,1
301,4,167.00,0.00,1,0.121441,3,0,2
302,1,200.00,0.00,1,0.121076,0,0,5
303,2,189.00,0.00,1,0.120713,1,0,6
304,0,0.00,0.00,1,0.120351,0,0,8
305,2,189.00,0.00,1,0.119990,1,1,9
306,1,200.00,0.00,1,0.119630,0,0,10
307,1,200.00,0.00,1,0.119271,0,0,12
308,1,200.00,0.00,1,0.118913,0,0,13
309,0,0.00,0.00,1,0.118556,0,0,15
310,4,217.00,0.00,1,0.118201,2,1,1
311,2,189.00,0.00,1,0.117846,1,0,2
312,1,200.00,0.00,1,0.117493,0,0,5
313,2,189.00,0.00,1,0.117140,1,0,6
