StateIndex,SetAirPurifier=OFF,SetAirPurifier=ON,SetCooler=OFF,SetCooler=ON,SetDehumidifier=OFF,SetDehumidifier=ON,SetFan=OFF,SetFan=ON,SetHeater=OFF,SetHeater=ON,SetHumidifier=OFF,SetHumidifier=ON,SetSpeaker=OFF,SetSpeaker=ON,SetWhiteNoiseUnit=OFF,SetWhiteNoiseUnit=ON,SetZ1Light=OFF,SetZ1Light=ON,DO_NOTHING
16,0.00,0.00,-0.10,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,54.20,0.00
18,-0.10,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,-0.10,-0.10,0.00,-0.10,-0.10,0.00,-1.10,20.00,0.00
21,0.00,0.00,0.00,-0.10,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,-0.10,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.10,0.00,0.00
31,0.00,0.00,0.00,-0.10,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,-0.60
32,0.00,0.00,0.00,0.00,1.70,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,81.90,0.00
34,0.00,-0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,0.00
65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,-0.10,0.00,0.00,0.00,-0.60
67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,-0.19,0.00,0.00,0.00,0.00,0.00,0.00
72,0.00,-0.10,0.00,-0.10,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,-0.10,-0.10,0.00,0.00,0.00
73,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00
74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
80,-0.10,0.00,0.00,-0.10,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,-1.10,0.00,-0.60
82,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,-0.10,-1.10,0.00,-0.60
83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,-0.19,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,-0.60
98,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,-0.10,0.00,-1.10,0.00,0.00
99,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00
103,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,20.00,0.00
106,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00
108,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,-0.10,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,-1.10,0.00,0.00
114,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,-0.10,0.00,0.00,-1.10,0.00,-0.60
122,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00
128,0.00,0.00,0.00,14.32,0.00,0.00,0.00,0.00,-0.10,0.00,-0.10,-0.10,0.00,0.00,0.00,-0.10,0.00,0.00,0.00
129,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00
130,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.10,81.90,0.00
134,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,-0.10,0.00,-0.10,-0.10,-0.19,0.00,0.00,0.00,-1.10,0.00,0.00
150,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
192,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
194,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00
198,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,-0.60
200,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
202,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00
204,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
206,-0.10,-0.10,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,-0.10,0.00,0.00,0.00,0.00
210,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
211,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,-0.10,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00
219,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,-1.10,0.00,0.00
236,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
