StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Eff=OFF,SetZ1Eff=ON,SetZ1Ineff=OFF,SetZ1Ineff=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Eff=OFF,SetZ2Eff=ON,SetZ2Ineff=OFF,SetZ2Ineff=ON,DO_NOTHING
7440,0.00,0.00,0.00,4.38,-25.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.15
7441,0.00,0.00,41.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7448,0.00,0.00,5.65,0.24,0.00,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7449,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.97,0.00,0.00,0.00
7552,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.25,0.00
7553,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.35,35.25,0.00
7554,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.25,0.00
7555,0.00,35.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7560,0.00,0.00,0.00,0.00,0.00,0.00,9.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7568,0.00,0.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09
7569,0.00,0.00,0.00,0.00,0.00,0.00,5.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10
7576,0.00,0.00,0.00,7.60,0.00,0.00,0.16,0.00,0.00,-0.35,-0.35,0.00,0.00,0.00,0.00
7577,-0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.09,0.00,0.00,0.00,0.00,27.78,0.00
