profile,mode,n_runs,source_run,defect_component,well_posed_recovery,recovery_tier,detection_rate,reconverge_rate,n_detected,n_reconverged,greedy_goal_rate_mean,n_goal_reaching,goal_reaching_rate,degraded_rate,n_degraded,best_effort_rank,nominal_goal,RecoveryEpisodes_mean,RecoveryEpisodes_ci_lo,RecoveryEpisodes_ci_hi,DetectEpisode_mean,DetectEpisode_ci_lo,DetectEpisode_ci_hi
lab3_f2dead,ql_false,0,,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f2dead,ql_true,0,,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f2dead_lowsun,ql_false,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f2dead_lowsun,ql_true,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f2inv,ql_false,10,,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,ill_posed,1.0,1.0,10,10,0.43,4,0.4,1.0,10,0,3,594.5,423.1,776.4,0.0,0.0,0.0
lab3_f2inv,ql_true,10,,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,ill_posed,1.0,0.5,10,5,0.29,2,0.2,1.0,10,0,3,1331.2,453.0,2370.2,0.0,0.0,0.0
labmon2_f2dead_lowsun,ql_false,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
labmon2_f2dead_lowsun,ql_true,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
labmon2_infoonly_f2dead_lowsun,ql_false,0,,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
labmon2_infoonly_f2dead_lowsun,ql_true,0,,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
labmon2_nostereo_f2dead_lowsun,ql_false,0,,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
labmon2_nostereo_f2dead_lowsun,ql_true,0,,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
labmon_f1dead,ql_false,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
labmon_f1dead,ql_true,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
labmon_infoonly_f1dead,ql_false,0,,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
labmon_infoonly_f1dead,ql_true,0,,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
labmon_nostereo_f1dead,ql_false,0,,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
labmon_nostereo_f1dead,ql_true,0,,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
