StateIndex,SetMasterSwitch=OFF,SetMasterSwitch=ON,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
5765,0.00,0.20,0.00,0.20,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,-10.00,0.00,0.00
5773,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.00,0.00,0.36,0.00,-10.00,2.09,0.00
5792,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.20
5825,0.00,0.20,0.25,0.20,0.00,2.00,0.00,0.35,0.20,0.23,0.37,0.00,-4.45,0.00,0.25
5829,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00
5833,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5836,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00
5861,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.22,0.00,0.00,0.00,0.00,0.00
5868,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00
6016,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6017,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6018,0.20,0.40,0.20,0.59,0.38,0.00,0.20,0.20,0.00,0.20,0.00,2.00,-18.94,0.28,0.00
6021,0.20,0.72,0.38,2.00,0.00,0.00,0.27,0.20,0.20,0.00,0.38,0.20,-18.64,0.59,0.00
6022,0.00,0.37,0.00,0.00,0.37,0.00,0.37,0.38,0.00,0.37,2.27,0.00,0.00,0.00,0.00
6026,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.54,0.00,0.00,0.00
6027,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6049,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6053,0.20,0.00,0.00,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6081,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.20,0.65,0.00,0.00,0.00,0.00,0.00,0.00
6085,0.20,0.00,0.20,0.00,0.00,0.20,0.00,0.20,0.00,0.20,0.00,0.00,0.00,0.00,0.00
6089,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.00
6117,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00
6121,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00
7437,-4.05,0.00,-3.37,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
