StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetPlugZ2=OFF,SetPlugZ2=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
5241,0.00,0.00,0.00,-0.05,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5245,0.00,0.00,0.00,-0.05,-0.55,-0.55,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5264,0.00,0.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00
5265,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,6.66,0.00,-0.30
5266,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5272,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5273,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,0.00,0.00,-0.05,-0.30
5296,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5304,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00
5314,0.00,0.00,-0.05,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.30
5328,-0.55,0.00,0.00,0.00,-4.05,0.00,0.00,0.00,-0.55,0.00,-0.05,0.00,0.00,-0.05,0.00
5329,0.00,0.00,0.00,27.10,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00
5336,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,-0.55,0.00,0.00,0.85,0.00,0.00,0.00
5337,0.00,0.00,-0.05,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,0.00
5368,0.00,0.00,-0.10,19.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00
5369,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,-0.57
5392,-0.55,100.00,-0.10,0.76,-7.70,16.04,5.31,-0.55,0.00,13.50,0.00,-0.05,1.62,-0.05,16.00
5393,0.00,0.00,0.00,-0.05,-4.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00
5395,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,19.00,0.00,0.00,0.00
5396,0.00,0.00,-0.05,-0.05,-3.69,-0.55,-0.55,-0.55,-0.55,-0.55,0.00,-0.05,-0.05,19.00,-0.30
5397,0.00,0.00,-0.05,0.00,0.00,-0.55,-0.55,-0.55,0.00,-0.55,0.00,0.00,0.00,10.00,0.00
5398,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5424,0.00,10.00,-0.10,0.00,0.00,-1.05,0.00,-0.55,0.00,0.00,-0.05,0.00,0.00,0.00,0.00
5428,0.00,0.00,-0.05,0.00,0.00,0.00,-0.55,-0.55,0.00,-0.55,-0.05,0.00,-0.05,0.00,0.00
5442,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00
5456,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5460,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5461,-0.55,0.00,0.00,-0.05,0.00,0.00,-0.55,0.00,-0.55,0.00,-0.05,0.00,-0.05,0.00,-0.30
5488,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5492,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5520,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,7.45,0.00,-0.30
5521,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.30
5523,0.00,0.00,0.00,0.00,-3.69,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,-0.05,0.00
5584,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,-0.05,0.00,0.00,0.00
5585,-1.05,10.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,-0.05,0.00,0.00,-0.30
5616,-0.55,10.00,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.30
5617,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5767,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.47,0.00,0.00
6022,0.00,100.00,-4.05,0.00,12.69,0.00,15.76,10.00,0.00,0.00,11.08,10.00,-11.77,0.00,8.43
7433,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7465,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,-8.29,3.14,0.20,0.00,0.00,0.00,0.00
7469,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00
7496,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7497,0.00,0.00,0.20,0.00,0.00,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00
7561,-10.00,0.00,0.38,0.00,0.38,2.00,0.25,0.20,0.00,0.37,0.00,0.00,0.64,0.38,0.00
7563,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7625,-18.51,0.00,0.20,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.20,0.00
