StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
2884,-0.35,0.00,-0.19,0.00,0.00,0.00,-0.35,0.00,5.34,0.00,-11.84,0.00,-0.10
2885,-0.35,0.00,0.00,35.25,0.00,0.00,0.00,0.00,0.00,0.00,-9.32,0.00,0.00
2886,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.25,0.00,35.25,0.00,0.00,0.00
2887,5.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2896,0.00,-0.35,0.00,0.00,0.00,0.00,0.00,0.00,39.24,0.00,0.00,0.00,0.00
2897,0.00,12.63,0.00,0.00,0.00,0.00,0.00,-0.13,0.00,0.00,0.00,0.00,0.00
2900,0.61,-0.25,0.00,0.00,-0.35,0.41,-0.07,0.00,0.00,13.36,-23.62,0.00,0.00
2901,0.00,-0.35,0.00,0.00,0.00,0.00,0.00,62.79,0.00,0.00,0.00,0.00,-0.10
2912,0.00,0.00,-0.29,92.41,-0.66,-0.26,5.31,0.00,0.91,0.00,0.00,0.00,0.00
2913,-0.35,-0.21,-0.35,0.00,0.00,0.00,-0.35,9.67,0.00,0.00,0.00,0.00,0.00
2916,0.00,0.00,0.00,76.45,0.00,0.00,0.00,0.00,0.00,2.23,0.00,0.19,0.00
2917,-0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.81,0.16,0.00,0.00,0.00
2928,0.00,0.00,-0.35,0.00,0.00,-0.35,-0.35,-0.50,49.07,0.00,0.00,0.00,0.00
2929,0.00,0.00,0.00,87.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2932,0.00,-0.11,-0.35,0.00,0.00,-0.11,-0.35,0.00,0.66,14.12,-14.27,0.39,0.34
2933,-0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.32,0.00,0.00,0.00,-0.10
3008,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.67,0.00,0.00,0.00,-0.05
3009,0.00,0.00,0.00,48.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
