StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
2932,0.00,0.50,0.20,0.00,0.00,0.50,0.20,0.00,0.85,18.23,-10.14,0.50,0.76
2933,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.74,0.00,0.00,0.00,0.20
3008,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.90,0.00,0.00,0.00,0.25
3009,0.00,0.00,0.00,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3010,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.20,3.31,0.00,0.00,0.00,0.00
3011,0.20,0.00,0.20,0.00,0.20,0.00,1.51,0.00,0.00,0.00,0.00,0.00,0.20
3024,0.00,0.00,0.00,0.00,0.83,1.00,0.00,0.00,0.48,16.69,0.00,0.00,0.00
3025,0.00,0.00,0.34,0.00,0.29,0.00,0.00,0.20,0.00,8.49,0.00,0.71,0.00
3040,1.81,0.00,0.00,0.00,0.00,0.00,0.00,1.67,19.04,0.00,0.00,0.00,1.53
3041,0.00,0.00,0.00,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3056,0.20,0.00,0.00,0.00,0.00,0.20,0.20,0.00,9.90,0.00,-10.07,0.00,0.20
3057,0.20,0.00,0.20,0.00,0.00,0.20,1.35,0.00,0.00,0.00,0.00,0.00,0.00
3716,0.00,0.00,0.00,0.00,-3.41,-0.12,-4.14,0.00,0.00,3.16,0.00,0.00,0.00
3717,-17.99,8.92,-1.20,10.05,6.49,2.37,-6.85,13.09,-1.40,-1.53,-0.63,100.50,6.26
3718,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.09,0.00,0.00,0.00
3719,0.00,0.00,0.00,57.24,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00
3732,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,47.09,0.00
3733,-4.51,-0.74,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,0.00,79.81,0.00
3748,0.00,0.00,0.00,0.00,-1.11,-0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3749,-1.91,0.00,0.00,0.00,0.00,0.00,-2.09,0.00,-0.55,0.00,1.17,88.28,-0.30
3764,0.00,0.00,0.00,0.00,5.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3765,0.00,0.00,0.00,0.00,29.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
