StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Eff=OFF,SetZ1Eff=ON,SetZ1Ineff=OFF,SetZ1Ineff=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Eff=OFF,SetZ2Eff=ON,SetZ2Ineff=OFF,SetZ2Ineff=ON,DO_NOTHING
7320,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.10,0.00,0.00,0.00
7321,-0.55,0.00,0.00,0.00,-0.71,0.00,-0.05,0.00,0.00,-0.56,0.00,0.00,0.00,0.00,-0.30
7424,0.00,100.50,3.07,2.45,1.81,2.41,0.00,-0.05,0.00,-0.55,10.81,10.05,0.00,10.05,-0.30
7425,0.00,19.10,0.00,0.23,0.95,23.66,0.00,0.00,0.00,-0.73,10.22,100.50,28.25,10.05,13.10
7426,0.00,0.00,0.00,0.00,0.00,0.00,-0.18,0.00,0.00,0.00,0.00,52.43,0.00,0.00,0.00
7427,0.00,0.00,0.00,0.00,0.00,-2.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7432,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.10,0.00,0.00,0.00
7433,-0.73,0.00,0.00,-0.45,0.00,-3.92,0.00,0.00,0.00,-0.55,-0.61,0.00,0.00,0.00,-0.37
7440,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.56,0.00,0.00,-0.30
7441,0.00,0.00,33.32,-0.26,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,-0.55,0.00,0.00
7448,0.00,0.00,0.00,-0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,-0.30
7449,-0.55,0.00,-2.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.30
7552,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.56,0.00
7553,0.00,34.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7554,0.00,0.00,0.00,0.00,0.00,0.00,7.02,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00
7555,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.24,0.00,0.00,0.00,0.00,-0.30
7560,0.00,0.00,0.00,2.41,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00
7561,0.00,34.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7568,0.00,0.00,0.00,0.00,-1.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.56,-0.34
7569,0.00,0.00,4.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7576,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.56,0.00
7577,-0.55,0.00,3.18,0.00,0.00,0.00,0.00,0.00,-0.47,0.00,0.00,0.00,0.00,0.00,-0.30
