profile,mode,n_runs,source_run,defect_component,well_posed_recovery,recovery_tier,detection_rate,reconverge_rate,n_detected,n_reconverged,greedy_goal_rate_mean,n_goal_reaching,goal_reaching_rate,degraded_rate,n_degraded,best_effort_rank,nominal_goal,RecoveryEpisodes_mean,RecoveryEpisodes_ci_lo,RecoveryEpisodes_ci_hi,DetectEpisode_mean,DetectEpisode_ci_lo,DetectEpisode_ci_hi
lab3_f2bdead,ql_true,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f2dead,ql_false,0,,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f2dead,ql_true,0,,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f2dead_lowsun,ql_false,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f2dead_lowsun,ql_true,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f2inv,ql_false,0,,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f2inv,ql_true,0,,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
labmon2_f2dead_lowsun,ql_false,10,,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,True,confirmatory,1.0,1.0,10,10,0.78,10,1.0,1.0,10,2,3,333.0,242.8975,433.7,0.2,0.0,0.6
labmon2_f2dead_lowsun,ql_true,10,,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,True,confirmatory,1.0,1.0,10,10,0.94,10,1.0,1.0,10,2,3,151.1,118.39750000000001,192.60499999999993,0.0,0.0,0.0
labmon2_infoonly_f2dead_lowsun,ql_false,10,,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,ill_posed,1.0,1.0,10,10,0.81,10,1.0,1.0,10,2,3,434.3,344.4975,540.4024999999999,0.0,0.0,0.0
labmon2_infoonly_f2dead_lowsun,ql_true,10,,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,ill_posed,1.0,1.0,10,10,0.78,10,1.0,1.0,10,2,3,216.1,165.1975,271.2,0.0,0.0,0.0
labmon2_nostereo_f2dead_lowsun,ql_false,0,,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
labmon2_nostereo_f2dead_lowsun,ql_true,0,,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
labmon_f1dead,ql_false,10,,http://example.org/was#SetZ1Light;none,True,confirmatory,0.6,0.6,6,6,0.6,6,0.6,0.6,6,2,3,51.333333333333336,51.0,52.0,0.0,0.0,0.0
labmon_f1dead,ql_true,10,,http://example.org/was#SetZ1Light;none,True,confirmatory,0.6,0.6,6,6,0.6,6,0.6,0.6,6,2,3,50.0,50.0,50.0,0.0,0.0,0.0
labmon_infoonly_f1dead,ql_false,10,,http://example.org/was#SetZ1Light,False,ill_posed,1.0,1.0,10,10,1.0,10,1.0,1.0,10,2,3,51.5,51.0,52.5,0.0,0.0,0.0
labmon_infoonly_f1dead,ql_true,10,,http://example.org/was#SetZ1Light,False,ill_posed,1.0,1.0,10,10,1.0,10,1.0,1.0,10,2,3,50.3,50.0,50.9,0.0,0.0,0.0
labmon_nostereo_f1dead,ql_false,10,,http://example.org/was#SetZ1Light,False,ill_posed,1.0,1.0,10,10,1.0,10,1.0,1.0,10,2,3,51.5,51.0,52.5,0.0,0.0,0.0
labmon_nostereo_f1dead,ql_true,10,,http://example.org/was#SetZ1Light,False,ill_posed,1.0,1.0,10,10,1.0,10,1.0,1.0,10,2,3,50.3,50.0,50.9,0.0,0.0,0.0
