StateIndex,SetMasterSwitch=OFF,SetMasterSwitch=ON,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
5140,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,19.10,-0.30
5141,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.82,0.00,0.00,0.00,0.00,0.00
5142,4.57,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5143,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,0.00
5144,-0.05,-0.05,9.00,-0.05,-3.73,0.00,-0.05,0.00,-0.05,-0.05,-0.55,-0.55,0.00,0.00,-0.30
5145,0.00,4.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5146,-0.05,0.00,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.16,0.00,0.00,-0.30
5147,-0.05,0.00,0.00,0.00,0.00,0.00,-0.09,0.00,0.00,0.00,0.00,0.00,0.00,41.16,0.00
5148,0.00,0.00,0.86,0.00,-4.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5149,0.00,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.56,0.00
5150,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5151,2.41,-0.05,0.00,-0.05,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.30
5154,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.43,-0.05,0.00,0.00,-0.55,0.00,0.00,0.00
5158,0.00,0.00,-0.05,0.86,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00
5162,0.00,0.00,11.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5166,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5168,-0.05,-0.05,0.00,-0.05,0.00,-0.55,0.00,2.90,0.00,0.00,0.00,-0.55,0.00,0.00,0.00
5169,0.00,-0.05,0.00,0.00,-1.91,0.00,0.00,0.66,0.00,0.00,0.00,0.00,-0.55,0.00,0.00
5172,0.00,0.00,0.00,30.53,-4.14,0.00,-0.05,-0.05,0.00,0.00,-0.55,0.00,0.00,0.00,0.00
5173,-0.05,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5176,0.00,-0.05,-0.05,0.00,-3.44,-0.55,-0.05,0.00,-0.05,6.36,-0.55,0.00,0.00,0.00,0.00
5177,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,3.91,0.00,0.00,0.00,0.00,-0.55,0.00,0.00
5180,0.00,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.95,0.00,0.00,0.00,0.00,0.00
5181,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5186,0.00,0.00,0.00,0.00,0.00,41.16,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00
5190,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.96,0.00
5194,0.00,0.00,0.00,0.00,0.00,27.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5198,0.00,-0.05,15.33,0.00,0.00,0.00,0.00,-0.05,-0.05,0.00,-0.55,0.00,0.00,0.00,0.00
5200,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.92,0.00
5201,0.00,0.82,8.65,1.67,-3.47,0.00,-0.05,-0.05,-0.05,0.82,0.00,0.00,-0.55,100.50,-0.30
5204,0.00,-0.05,0.00,0.00,0.00,0.00,-0.05,-0.05,0.00,0.00,-0.55,0.00,0.00,27.24,0.00
5205,0.00,-0.05,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,34.56,0.00
5209,0.00,-0.05,0.00,0.00,0.00,0.00,0.03,-0.05,-0.05,-0.05,0.00,0.00,0.00,57.24,-0.30
5213,0.00,0.00,0.00,-0.05,0.00,-0.55,-0.05,0.00,0.00,27.24,0.00,0.00,0.00,10.05,0.00
5217,0.00,-0.05,0.00,-0.05,0.00,15.95,-1.75,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00
5221,0.00,0.00,0.00,1.68,0.00,-0.55,0.00,0.00,-0.05,0.00,0.00,-0.55,-0.55,0.00,0.00
5225,0.00,0.00,0.00,-0.05,-0.55,0.00,0.00,-0.05,0.00,-0.05,-2.09,-1.04,0.00,83.36,-0.30
5229,-0.05,0.00,0.00,-0.05,-0.55,-0.55,-2.09,-0.05,0.00,0.00,-1.91,0.00,0.00,52.90,0.00
