StateIndex,SetMasterSwitch=OFF,SetMasterSwitch=ON,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
5418,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
5424,1,0,1,0,1,1,0,1,0,1,0,1,0,4,1
5425,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1
5432,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
5446,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1
5450,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
5456,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
5457,0,1,1,0,0,1,0,0,0,1,0,0,0,2,0
5460,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1
5461,0,1,0,4,0,1,1,1,1,0,1,0,0,0,0
5464,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
5465,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0
5473,1,0,0,0,1,0,1,0,0,0,1,0,0,5,1
5477,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
5481,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0
5488,1,0,1,1,1,0,2,0,3,1,0,1,0,0,2
5489,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5492,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
5493,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0
5496,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
5497,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0
5761,0,0,1,1,2,0,0,1,0,0,86,0,0,0,0
5762,0,2,0,1,1,306,1,2,0,2,0,0,1,2,0
5763,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5764,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
5765,1,1,1,0,0,0,1,1,1,0,0,113,0,0,1
5766,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5767,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5768,1,0,0,1,0,0,0,0,1,0,35,0,0,0,0
5769,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
5770,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0
5771,1,0,0,0,1,0,0,0,0,0,0,7,0,0,0
5772,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0
5773,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
5774,0,0,0,1,0,0,0,0,0,0,0,0,0,99,0
5775,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5792,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1
5793,0,0,1,1,1,0,0,0,0,0,4,0,0,0,0
5796,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0
5797,1,3,1,1,0,0,0,0,2,0,111,0,1,2,0
5800,1,3,1,0,1,0,0,0,0,1,0,0,1,0,0
5801,1,0,0,0,0,12,0,0,0,0,0,0,0,1,0
5804,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
5805,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0
5824,0,1,0,0,0,0,0,0,0,0,0,0,0,37,0
5825,0,0,0,0,0,0,0,0,1,0,0,0,0,46,0
5828,2,0,0,2,1,0,0,0,0,0,1,0,1,107,1
5829,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
5832,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0
5833,1,0,0,1,1,0,0,0,1,0,0,0,0,77,0
