StateIndex,SetMasterSwitch=OFF,SetMasterSwitch=ON,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
5142,8.19,-0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5143,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.59,0.00,0.00,0.00,0.00,0.00
5144,-0.59,-0.59,17.50,-0.59,-7.50,0.00,-0.59,0.00,-0.59,-0.59,-0.59,-0.59,0.00,0.00,-0.59
5145,0.00,7.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5146,-0.59,0.00,-0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82.31,0.00,0.00,-0.59
5147,-0.59,0.00,0.00,0.00,0.00,0.00,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,82.31,0.00
5148,0.00,0.00,1.22,0.00,-8.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5149,0.00,-0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.12,0.00
5150,0.00,0.00,-0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5151,4.31,-0.59,0.00,-0.59,0.00,-1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.59
5154,0.00,0.00,0.00,0.00,0.00,0.00,0.00,104.86,-0.59,0.00,0.00,-0.59,0.00,0.00,0.00
5158,0.00,0.00,-0.59,1.22,0.00,0.00,-0.59,0.00,0.00,0.00,0.00,-0.59,0.00,0.00,0.00
5162,0.00,0.00,20.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5166,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5168,-0.59,-0.59,0.00,-0.59,0.00,-1.09,0.00,5.60,0.00,0.00,0.00,-0.59,0.00,0.00,0.00
5169,0.00,-0.59,0.00,0.00,-3.82,0.00,0.00,0.87,0.00,0.00,0.00,0.00,-0.59,0.00,0.00
5172,0.00,0.00,0.00,57.64,-8.27,0.00,-0.59,-0.59,0.00,0.00,-0.59,0.00,0.00,0.00,0.00
5173,-0.59,-0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5176,0.00,-0.59,-0.59,0.00,-6.88,-1.09,-0.59,0.00,-0.59,11.77,-0.59,0.00,0.00,0.00,0.00
5177,0.00,0.00,-0.59,0.00,0.00,0.00,0.00,6.87,0.00,0.00,0.00,0.00,-0.59,0.00,0.00
5180,0.00,2.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,149.91,0.00,0.00,0.00,0.00,0.00
5181,-0.59,0.00,0.00,0.00,0.00,0.00,0.00,-0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5186,0.00,0.00,0.00,0.00,0.00,82.31,0.00,0.00,0.00,0.00,0.00,0.00,-0.59,0.00,0.00
5190,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,137.92,0.00
