StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
2883,-0.35,1.41,0.00,35.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2884,0.00,0.00,0.00,79.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2885,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.47,0.00,0.00,-11.83,0.00,0.00
2886,0.00,0.00,0.00,10.25,0.00,85.41,0.00,10.25,0.00,0.00,0.00,0.00,-0.10
2887,0.00,0.00,0.00,58.38,0.00,0.00,0.00,0.00,0.00,0.00,-14.27,1.05,0.00
2896,0.00,-0.66,0.00,0.00,-0.35,0.00,0.00,0.00,7.38,0.00,-10.81,0.00,-0.10
2897,7.08,-0.35,8.43,0.00,0.00,6.34,0.00,3.12,93.80,8.60,-1.15,8.69,0.00
2900,0.00,0.00,0.00,0.00,-0.21,0.27,-0.26,0.00,3.47,0.24,0.00,6.58,0.00
2901,0.00,-0.35,0.00,0.00,0.00,0.00,0.00,53.47,0.00,0.00,0.00,0.00,0.00
2912,0.00,-0.35,-0.33,94.32,-0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00
2913,0.00,0.00,0.00,88.65,0.00,1.41,0.00,0.00,0.00,0.00,0.00,0.00,-0.10
2916,-0.32,0.00,0.00,0.00,0.00,0.00,-0.35,0.00,0.00,20.66,-12.99,0.00,0.00
2917,0.00,0.00,-0.35,76.45,-0.35,0.00,-0.35,0.00,0.46,0.00,0.00,0.00,0.00
2928,0.00,0.00,-0.35,0.00,0.00,-0.35,-0.35,-0.35,62.32,0.00,0.00,0.00,0.00
2929,0.00,0.00,0.00,66.76,0.00,2.83,-0.32,0.00,0.16,0.91,0.00,0.00,2.40
2932,0.15,0.00,-0.35,0.00,0.00,0.00,-0.35,70.33,0.00,0.00,-14.27,0.00,0.00
2933,0.00,0.58,0.00,35.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3008,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.07,0.00,0.00,0.00
3009,0.00,0.00,0.00,0.00,0.00,-0.50,0.00,0.00,0.00,15.60,0.00,0.61,0.00
3010,0.00,0.00,-0.35,0.00,-0.35,0.00,0.00,-0.35,0.00,76.45,-12.99,0.00,0.00
3011,-0.35,0.00,0.00,0.00,0.00,41.97,0.00,-0.35,2.03,0.00,0.00,0.00,-0.10
3024,0.00,53.47,0.00,0.00,0.00,-0.35,0.00,0.00,0.00,0.00,-12.99,0.00,0.00
3025,0.00,76.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3040,0.00,0.00,0.00,27.78,0.00,0.00,0.00,-0.35,0.00,0.00,0.00,3.20,-0.05
3041,0.00,41.97,0.00,0.00,-0.32,0.00,0.00,0.00,2.30,0.00,-11.09,0.36,0.00
3056,-0.35,0.00,0.00,0.00,-0.35,0.00,-0.35,0.00,0.00,8.56,-14.27,0.00,0.00
