StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetPlugZ2=OFF,SetPlugZ2=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
2601,0.00,0.00,0.00,-0.54,0.00,0.00,0.00,16.46,0.00,0.00,0.00,-0.20,0.00,0.00,0.00
2605,0.00,0.00,0.00,0.00,0.00,5.43,-0.04,0.00,-0.04,0.00,0.00,0.00,0.00,0.00,0.00
2625,-0.04,0.00,-0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.01,0.00,0.00,0.00
2629,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,0.00,0.00,0.00,53.50,0.00
2633,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00
2637,0.00,0.00,0.00,0.00,0.00,24.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2721,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.19,0.00,0.00
2729,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.61,0.00,0.00
2753,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.19,0.00,0.00,0.00
2761,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.43,0.00,0.00
2849,0.00,0.00,0.00,0.00,-0.54,0.00,-0.04,0.00,0.00,0.00,-1.97,0.00,0.00,0.00,-0.29
2853,0.00,11.42,0.00,0.00,-0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2881,-0.04,0.00,0.00,0.00,0.00,7.80,0.00,0.00,0.00,-0.04,0.00,0.00,-0.54,-0.54,0.00
2885,-0.04,0.00,-0.54,0.00,-0.54,0.00,-2.09,-0.04,0.00,0.00,0.00,0.00,0.00,19.51,0.00
2977,0.00,0.00,-0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.38,0.00,0.00,0.00,0.00
