StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetPlugZ2=OFF,SetPlugZ2=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
5265,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
5266,0,0,1,0,0,1,0,3,1,0,1,0,0,1,0
5267,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
5272,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0
5273,0,0,1,0,0,1,0,0,1,10,0,1,0,0,0
5274,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5275,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
5282,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0
5290,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
5297,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0
5305,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0
5314,0,0,0,7,1,0,1,0,0,0,0,0,0,1,0
5322,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1
5328,1,0,1,2,0,0,0,0,0,0,1,1,0,0,0
5336,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0
5345,0,0,0,11,0,0,1,0,0,0,1,0,1,0,1
5353,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0
5360,0,0,0,7,0,0,0,1,0,0,1,0,0,0,1
5361,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5368,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
5369,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
5392,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5393,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1
5394,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
5395,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0
5396,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
5397,1,5,0,0,1,0,0,0,0,1,0,0,1,0,0
5398,1,0,1,0,0,0,0,0,0,1,0,0,1,2,2
5399,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5410,0,6,0,1,0,0,1,0,2,1,0,1,0,1,1
5414,0,0,0,1,0,0,1,8,0,0,0,1,0,0,1
5424,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0
5428,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1
5429,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
5442,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1
5446,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0
5456,1,2,0,0,0,0,1,0,0,0,1,0,1,0,1
5457,0,2,0,0,0,0,1,0,1,0,0,1,1,0,0
5461,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
5473,0,302,1,0,1,1,1,0,0,1,3,2,2,1,0
5477,1,7,0,0,0,0,0,1,0,0,1,0,0,0,0
5488,0,6,1,0,0,0,0,0,1,1,0,0,0,0,1
5489,1,0,0,1,1,1,0,0,1,1,1,0,2,1,1
5492,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1
5493,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1
5520,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
5521,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5522,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
5523,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1
5538,0,0,0,4,0,0,2,0,0,0,0,0,0,1,1
5552,1,0,0,17,0,0,0,0,0,0,0,1,0,0,0
5553,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
5570,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0
5584,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
5601,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
5617,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5764,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
5765,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
5766,1,0,0,38,0,5,0,0,0,0,0,0,1,0,0
5772,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
5773,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
5774,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
5775,0,0,0,0,0,0,0,0,0,0,10,4,0,0,1
5796,0,0,1,1,0,0,0,0,0,1,0,1,0,142,0
5797,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0
5804,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0
5805,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
5828,0,0,0,61,0,2,0,0,0,0,0,0,0,0,1
5829,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
5836,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0
5837,1,0,0,1,0,0,0,2,0,0,0,1,0,56,0
