StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetPlugZ2=OFF,SetPlugZ2=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
5772,21,0,1,0,0,0,0,0,0,0,0,0,1,0,44
5773,10,1,1,0,0,0,0,0,0,0,1,6,1,1,199
5774,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
5775,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
5796,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0
5797,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
5804,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5805,9,0,0,0,0,0,0,0,0,0,10,0,0,0,0
5828,0,12,1,0,0,0,1,0,0,1,0,1,1,0,1
5829,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
5836,14,0,1,0,0,0,4,0,0,0,0,0,1,0,11
5837,8,0,1,0,0,0,2,0,0,0,0,0,1,0,4
5860,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
5861,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5868,7,0,0,0,0,0,1,0,0,0,5,0,0,0,1
5869,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6020,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0
6021,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
6022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6023,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6053,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6084,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
6116,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
6117,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
7432,1,0,0,15,0,0,0,1,1,0,0,0,0,0,25
7433,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
7434,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
7436,1,0,21,0,1,0,0,0,1,0,1,0,0,0,33
7437,1,0,7,0,0,0,0,39,1,0,0,0,0,0,5
7438,1,0,5,0,0,0,0,4,1,0,0,0,0,0,1
7439,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7464,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0
7465,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
7468,1,0,11,0,0,0,0,0,1,0,2,0,0,0,5
7469,1,1,1,0,0,0,0,58,0,0,0,0,0,0,1
7496,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
7497,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
7500,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
7501,1,0,9,0,0,1,39,0,1,0,0,0,0,0,1
7528,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
7529,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7532,0,0,9,0,0,0,2,0,0,0,1,0,0,0,1
7533,0,0,0,0,0,1,56,0,0,0,1,0,0,0,1
7560,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7561,0,1,1,300,2,1,1,3,0,0,0,0,0,0,2
7562,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
7563,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
7592,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
7593,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
7624,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
7625,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
7656,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
